disease,integration type,experiment,threshold,features,accuracy,test instances,train instances,total_instances
Acne_Vulgaris,single,GDS2478,80,40,90,8,10,18
Acne_Vulgaris,single,GDS2478,80,50,90,8,10,18
Acne_Vulgaris,single,GDS2478,80,60,90,8,10,18
Acne_Vulgaris,single,GDS2478,80,70,90,8,10,18
Acne_Vulgaris,single,GDS2478,80,80,90,8,10,18
Acne_Vulgaris,single,GDS2478,80,90,90,8,10,18
Acne_Vulgaris,single,GDS3215,80,10,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,20,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,30,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,40,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,50,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,60,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,70,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,80,25,2,4,6
Acne_Vulgaris,single,GDS3215,80,90,25,2,4,6
Acne_Vulgaris,single,GDS3218,80,10,62.5,4,8,12
Acne_Vulgaris,single,GDS3218,80,20,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,30,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,40,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,50,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,60,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,70,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,80,50,4,8,12
Acne_Vulgaris,single,GDS3218,80,90,50,4,8,12
Acne_Vulgaris,single,GDS2478,90,10,72.7273,7,11,18
Acne_Vulgaris,single,GDS2478,90,20,90.9091,7,11,18
Acne_Vulgaris,single,GDS2478,90,30,81.8182,7,11,18
Acne_Vulgaris,single,GDS2478,90,40,90.9091,7,11,18
Acne_Vulgaris,single,GDS2478,90,50,90.9091,7,11,18
Acne_Vulgaris,single,GDS2478,90,60,100,7,11,18
Acne_Vulgaris,single,GDS2478,90,70,100,7,11,18
Acne_Vulgaris,single,GDS2478,90,80,100,7,11,18
Acne_Vulgaris,single,GDS2478,90,90,90.9091,7,11,18
Acne_Vulgaris,single,GDS3215,90,10,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,20,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,30,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,40,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,50,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,60,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,70,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,80,25,2,4,6
Acne_Vulgaris,single,GDS3215,90,90,25,2,4,6
Acne_Vulgaris,single,GDS3218,90,10,62.5,4,8,12
Acne_Vulgaris,single,GDS3218,90,20,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,30,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,40,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,50,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,60,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,70,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,80,50,4,8,12
Acne_Vulgaris,single,GDS3218,90,90,50,4,8,12
Acne_Vulgaris,multi,GDS2478,10,10,0,35,1,36
Acne_Vulgaris,multi,GDS2478,10,20,100,35,1,36
Acne_Vulgaris,multi,GDS2478,10,30,100,35,1,36
Acne_Vulgaris,multi,GDS2478,10,40,100,35,1,36
Acne_Vulgaris,multi,GDS2478,10,50,100,35,1,36
Acne_Vulgaris,multi,GDS3215,10,10,0,36,0,36
Acne_Vulgaris,multi,GDS3215,10,20,0,36,0,36
Acne_Vulgaris,multi,GDS3215,10,30,0,36,0,36
Acne_Vulgaris,multi,GDS3215,10,40,0,36,0,36
Acne_Vulgaris,multi,GDS3215,10,50,0,36,0,36
Acne_Vulgaris,multi,GDS3218,10,10,0,35,1,36
Acne_Vulgaris,multi,GDS3218,10,20,0,35,1,36
Acne_Vulgaris,multi,GDS3218,10,30,0,35,1,36
Acne_Vulgaris,multi,GDS3218,10,40,0,35,1,36
Acne_Vulgaris,multi,GDS3218,10,50,0,35,1,36
Acne_Vulgaris,multi,GDS2478,20,10,100,34,2,36
Acne_Vulgaris,multi,GDS2478,20,20,100,34,2,36
Acne_Vulgaris,multi,GDS2478,20,30,100,34,2,36
Acne_Vulgaris,multi,GDS2478,20,40,100,34,2,36
Acne_Vulgaris,multi,GDS2478,20,50,100,34,2,36
Acne_Vulgaris,multi,GDS3215,20,10,0,35,1,36
Acne_Vulgaris,multi,GDS3215,20,20,0,35,1,36
Acne_Vulgaris,multi,GDS3215,20,30,0,35,1,36
Acne_Vulgaris,multi,GDS3215,20,40,0,35,1,36
Acne_Vulgaris,multi,GDS3215,20,50,0,35,1,36
Acne_Vulgaris,multi,GDS3218,20,10,0,34,2,36
Acne_Vulgaris,multi,GDS3218,20,20,0,34,2,36
Acne_Vulgaris,multi,GDS3218,20,30,0,34,2,36
Acne_Vulgaris,multi,GDS3218,20,40,0,34,2,36
Acne_Vulgaris,multi,GDS3218,20,50,0,34,2,36
Acne_Vulgaris,multi,GDS2478,30,10,100,32,4,36
Acne_Vulgaris,multi,GDS2478,30,20,100,32,4,36
Acne_Vulgaris,multi,GDS2478,30,30,75,32,4,36
Acne_Vulgaris,multi,GDS2478,30,40,75,32,4,36
Acne_Vulgaris,multi,GDS2478,30,50,100,32,4,36
Acne_Vulgaris,multi,GDS3215,30,10,0,35,1,36
Acne_Vulgaris,multi,GDS3215,30,20,0,35,1,36
Acne_Vulgaris,multi,GDS3215,30,30,0,35,1,36
Acne_Vulgaris,multi,GDS3215,30,40,0,35,1,36
Acne_Vulgaris,multi,GDS3215,30,50,0,35,1,36
Acne_Vulgaris,multi,GDS3218,30,10,0,33,3,36
Acne_Vulgaris,multi,GDS3218,30,20,0,33,3,36
Acne_Vulgaris,multi,GDS3218,30,30,0,33,3,36
Acne_Vulgaris,multi,GDS3218,30,40,0,33,3,36
Acne_Vulgaris,multi,GDS3218,30,50,0,33,3,36
Acne_Vulgaris,multi,GDS2478,40,10,100,31,5,36
Acne_Vulgaris,multi,GDS2478,40,20,100,31,5,36
Acne_Vulgaris,multi,GDS2478,40,30,80,31,5,36
Acne_Vulgaris,multi,GDS2478,40,40,80,31,5,36
Acne_Vulgaris,multi,GDS2478,40,50,100,31,5,36
Acne_Vulgaris,multi,GDS3215,40,10,0,34,2,36
Acne_Vulgaris,multi,GDS3215,40,20,0,34,2,36
Acne_Vulgaris,multi,GDS3215,40,30,0,34,2,36
Acne_Vulgaris,multi,GDS3215,40,40,0,34,2,36
Acne_Vulgaris,multi,GDS3215,40,50,0,34,2,36
Acne_Vulgaris,multi,GDS3218,40,10,25,32,4,36
Acne_Vulgaris,multi,GDS3218,40,20,25,32,4,36
Acne_Vulgaris,multi,GDS3218,40,30,25,32,4,36
Acne_Vulgaris,multi,GDS3218,40,40,25,32,4,36
Acne_Vulgaris,multi,GDS3218,40,50,25,32,4,36
Acne_Vulgaris,multi,GDS2478,50,10,100,30,6,36
Acne_Vulgaris,multi,GDS2478,50,20,100,30,6,36
Acne_Vulgaris,multi,GDS2478,50,30,83.3333,30,6,36
Acne_Vulgaris,multi,GDS2478,50,40,83.3333,30,6,36
Acne_Vulgaris,multi,GDS2478,50,50,100,30,6,36
Acne_Vulgaris,multi,GDS3215,50,10,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,50,20,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,50,30,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,50,40,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,50,50,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3218,50,10,50,30,6,36
Acne_Vulgaris,multi,GDS3218,50,20,50,30,6,36
Acne_Vulgaris,multi,GDS3218,50,30,50,30,6,36
Acne_Vulgaris,multi,GDS3218,50,40,50,30,6,36
Acne_Vulgaris,multi,GDS3218,50,50,50,30,6,36
Acne_Vulgaris,multi,GDS2478,60,10,100,30,6,36
Acne_Vulgaris,multi,GDS2478,60,20,100,30,6,36
Acne_Vulgaris,multi,GDS2478,60,30,83.3333,30,6,36
Acne_Vulgaris,multi,GDS2478,60,40,83.3333,30,6,36
Acne_Vulgaris,multi,GDS2478,60,50,100,30,6,36
Acne_Vulgaris,multi,GDS3215,60,10,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,60,20,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,60,30,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,60,40,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3215,60,50,33.3333,33,3,36
Acne_Vulgaris,multi,GDS3218,60,10,42.8571,29,7,36
Acne_Vulgaris,multi,GDS3218,60,20,42.8571,29,7,36
Acne_Vulgaris,multi,GDS3218,60,30,42.8571,29,7,36
Acne_Vulgaris,multi,GDS3218,60,40,42.8571,29,7,36
Acne_Vulgaris,multi,GDS3218,60,50,42.8571,29,7,36
Acne_Vulgaris,multi,GDS2478,70,10,62.5,28,8,36
Acne_Vulgaris,multi,GDS2478,70,20,62.5,28,8,36
Acne_Vulgaris,multi,GDS2478,70,30,75,28,8,36
Acne_Vulgaris,multi,GDS2478,70,40,87.5,28,8,36
Acne_Vulgaris,multi,GDS2478,70,50,75,28,8,36
Acne_Vulgaris,multi,GDS3215,70,10,25,32,4,36
Acne_Vulgaris,multi,GDS3215,70,20,25,32,4,36
Acne_Vulgaris,multi,GDS3215,70,30,25,32,4,36
Acne_Vulgaris,multi,GDS3215,70,40,25,32,4,36
Acne_Vulgaris,multi,GDS3215,70,50,25,32,4,36
Acne_Vulgaris,multi,GDS3218,70,10,50,28,8,36
Acne_Vulgaris,multi,GDS3218,70,20,50,28,8,36
Acne_Vulgaris,multi,GDS3218,70,30,50,28,8,36
Acne_Vulgaris,multi,GDS3218,70,40,50,28,8,36
Acne_Vulgaris,multi,GDS3218,70,50,50,28,8,36
Acne_Vulgaris,multi,GDS2478,80,10,70,26,10,36
Acne_Vulgaris,multi,GDS2478,80,20,80,26,10,36
Acne_Vulgaris,multi,GDS2478,80,30,90,26,10,36
Acne_Vulgaris,multi,GDS2478,80,40,90,26,10,36
Acne_Vulgaris,multi,GDS2478,80,50,80,26,10,36
Acne_Vulgaris,multi,GDS3215,80,10,25,32,4,36
Acne_Vulgaris,multi,GDS3215,80,20,25,32,4,36
Acne_Vulgaris,multi,GDS3215,80,30,25,32,4,36
Acne_Vulgaris,multi,GDS3215,80,40,25,32,4,36
Acne_Vulgaris,multi,GDS3215,80,50,25,32,4,36
Acne_Vulgaris,multi,GDS3218,80,10,50,28,8,36
Acne_Vulgaris,multi,GDS3218,80,20,50,28,8,36
Acne_Vulgaris,multi,GDS3218,80,30,50,28,8,36
Acne_Vulgaris,multi,GDS3218,80,40,50,28,8,36
Acne_Vulgaris,multi,GDS3218,80,50,50,28,8,36
Acne_Vulgaris,multi,GDS2478,90,10,54.5455,25,11,36
Acne_Vulgaris,multi,GDS2478,90,20,81.8182,25,11,36
Acne_Vulgaris,multi,GDS2478,90,30,90.9091,25,11,36
Acne_Vulgaris,multi,GDS2478,90,40,90.9091,25,11,36
Acne_Vulgaris,multi,GDS2478,90,50,81.8182,25,11,36
Acne_Vulgaris,multi,GDS3215,90,10,25,32,4,36
Acne_Vulgaris,multi,GDS3215,90,20,25,32,4,36
Acne_Vulgaris,multi,GDS3215,90,30,25,32,4,36
Acne_Vulgaris,multi,GDS3215,90,40,25,32,4,36
Acne_Vulgaris,multi,GDS3215,90,50,25,32,4,36
Acne_Vulgaris,multi,GDS3218,90,10,50,28,8,36
Acne_Vulgaris,multi,GDS3218,90,20,50,28,8,36
Acne_Vulgaris,multi,GDS3218,90,30,50,28,8,36
Acne_Vulgaris,multi,GDS3218,90,40,50,28,8,36
Acne_Vulgaris,multi,GDS3218,90,50,50,28,8,36
